G_n;Size;Structure Description;is_transitive;transitive_degree;isormorphic to b_k
12;3840;C2 x ((C2 x C2 x C2 x C2) : S5);TRUE;39;CompositionMapping( [ (1,1921)(2,1922)(3,1923)(4,1924)(5,1925)(6,1926)(7,1927)(8,1928)(9,1929)(10,1930)(11,1931)(12,1932)(13,1933)(14,1934)(15,1935)(16,1936)(17,1937)(18,1938)(19,1939)(20,1940)(21,1941)(22,1942)(23,1943)(24,1944)(25,985)(26,986)(27,987)(28,988)(29,989)(30,990)(31,511)(32,512)(33,273)(34,154)(35,275)(36,156)(37,517)(38,518)(39,279)(40,160)(41,281)(42,162)(43,523)(44,524)(45,285)(46,166)(47,287)(48,168)(49,1009)(50,1010)(51,1011)(52,1012)(53,1013)(54,1014)(55,535)(56,536)(57,297)(58,178)(59,299)(60,180)(61,541)(62,542)(63,303)(64,184)(65,305)(66,186)(67,547)(68,548)(69,309)(70,190)(71,311)(72,192)(73,1033)(74,1034)(75,1035)(76,1036)(77,1037)(78,1038)(79,559)(80,560)(81,321)(82,202)(83,323)(84,204)(85,565)(86,566)(87,327)(88,208)(89,329)(90,210)(91,571)(92,572)(93,333)(94,214)(95,335)(96,216)(97,1057)(98,1058)(99,1059)(100,1060)( [...] ), (1,34,65,91,97)(2,33,66,92,98)(3,36,62,93,99)(4,35,61,94,100)(5,31,64,95,101)(6,32,63,96,102)(7,40,71,77,103)(8,39,72,78,104)(9,42,68,74,105)(10,41,67,73,106)(11,37,70,76,107)(12,38,69,75,108)(13,46,52,83,109)(14,45,51,84,110)(15,48,54,80,111)(16,47,53,79,112)(17,43,49,82,113)(18,44,50,81,114)(19,25,58,89,115)(20,26,57,90,116)(21,27,60,86,117)(22,28,59,85,118)(23,29,55,88,119)(24,30,56,87,120)(121,154,185,211,217)(122,153,186,212,218)(123,156,182,213,219)(124,155,181,214,220)(125,151,184,215,221)(126,152,183,216,222)(127,160,191,197,223)(128,159,192,198,224)(129,162,188,194,225)(130,161,187,193,226)(131,157,190,196,227)(132,158,189,195,228)(133,166,172,203,229)(134,165,171,204,230)(135,168,174,200,231)(136,167,173,199,232)( [...] ), (1,25)(2,26)(3,27)(4,28)(5,29)(6,30)(7,31)(8,32)(9,33)(10,34)(11,35)(12,36)(13,37)(14,38)(15,39)(16,40)(17,41)(18,42)(19,43)(20,44)(21,45)(22,46)(23,47)(24,48)(49,55)(50,56)(51,57)(52,58)(53,59)(54,60)(61,63)(62,64)(65,66)(67,69)(68,70)(71,72)(73,79)(74,80)(75,81)(76,82)(77,83)(78,84)(85,87)(86,88)(89,90)(91,93)(92,94)(95,96)(97,103)(98,104)(99,105)(100,106)(101,107)(102,108)(109,111)(110,112)(113,114)(115,117)(116,118)(119,120)(121,145)(122,146)(123,147)(124,148)(125,149)(126,150)(127,151)(128,152)(129,153)(130,154)(131,155)(132,156)(133,157)(134,158)(135,159)(136,160)(137,161)(138,162)(139,163)(140,164)(141,165)(142,166)(143,167)(144,168)(169,175)(170,176)(171,177)(172,178)(173,179)(174,180)(181,183)(182,184)(185,186)(187,189)(188,190)(191,192)(193,199)(194,200)(195,201)(196,202)( [...] ) ] -> [ (5,8), (2,5,7,4,10)(3,11,8,6,9), (2,11)(3,10)(4,9)(5,6)(7,8) ], <action isomorphism> )
18;10321920;((C2 x C2 x C2 x C2 x C2 x C2 x C2) : A8) : (C2 x C2);TRUE;1948;TRUE
28;5,10118E+13;C2 x ((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : S13);TRUE;90;TRUE
36;4,66E+33;C2 x ((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : S17);TRUE;109;TRUE
42;;;TRUE;;TRUE
54;;;TRUE;;TRUE
60;4,75E+53;;TRUE;;TRUE
61;1;1;;;fail
62;60;C60;TRUE;;fail
63;4,59E+46;;FALSE;;fail
